[23600]: 5-14	IORB created: 23534
[23810]: 14-10	IORB created: 23619
[23885]: 10-10	IORB created: 23810
[23990]: 10-0	IORB created: 23845
[24095]: 0-5	IORB created: 23885
[24200]: 5-0	IORB created: 24095
[24278]: 0-11	IORB created: 24278
[24473]: 11-10	IORB created: 24473
[24695]: 10-14	IORB created: 24695
[24860]: 14-10	IORB created: 24860
[24980]: 10-14	IORB created: 24980
[25145]: 14-10	IORB created: 25145
[25223]: 10-14	IORB created: 25223
[25388]: 14-11	IORB created: 25388
[25936]: 11-2	IORB created: 25936
[26011]: 2-6	IORB created: 25938
[26116]: 6-0	IORB created: 26011
[26191]: 0-15	IORB created: 26075
[26446]: 15-5	IORB created: 26116
[26506]: 5-4	IORB created: 26216
[26566]: 4-11	IORB created: 26446
[26731]: 11-0	IORB created: 26566
[26836]: 0-13	IORB created: 26780
[27061]: 13-4	IORB created: 26856
[27121]: 4-8	IORB created: 26885
[27241]: 8-11	IORB created: 27061
[27376]: 11-0	IORB created: 27121
[27481]: 0-5	IORB created: 27241
[27739]: 5-9	IORB created: 27739
[27874]: 9-11	IORB created: 27768
[28009]: 11-5	IORB created: 27874
[28039]: 5-10	IORB created: 28009
[28189]: 10-7	IORB created: 28064
[28249]: 7-12	IORB created: 28201
[28414]: 12-5	IORB created: 28249
[28459]: 5-10	IORB created: 28414
[28609]: 10-6	IORB created: 28584
[28654]: 6-5	IORB created: 28654
[28714]: 5-14	IORB created: 28664
[28924]: 14-10	IORB created: 28924
[29047]: 10-3	IORB created: 29047
[29107]: 3-11	IORB created: 29095
[29287]: 11-0	IORB created: 29107
[29392]: 0-10	IORB created: 29263
[29572]: 10-10	IORB created: 29287
[29677]: 10-0	IORB created: 29549
[29782]: 0-5	IORB created: 29572
[29887]: 5-13	IORB created: 29700
[30082]: 13-0	IORB created: 29782
[30202]: 0-9	IORB created: 30000
[30367]: 9-10	IORB created: 30082
[30487]: 10-9	IORB created: 30129
[30577]: 9-2	IORB created: 30420
[30637]: 2-5	IORB created: 30577
[30727]: 5-11	IORB created: 30606
[30892]: 11-0	IORB created: 30637
[30997]: 0-6	IORB created: 30791
[31117]: 6-10	IORB created: 30892
[31252]: 10-5	IORB created: 31117
[31319]: 5-7	IORB created: 31319
[31424]: 7-5	IORB created: 31424
[31772]: 5-13	IORB created: 31772
[31967]: 13-10	IORB created: 31786
[32057]: 10-10	IORB created: 31967
[32162]: 10-5	IORB created: 32057
[32286]: 5-6	IORB created: 32286
[32376]: 6-5	IORB created: 32376
[32436]: 5-15	IORB created: 32429
[32661]: 15-5	IORB created: 32560
[32721]: 5-10	IORB created: 32661
[32871]: 10-5	IORB created: 32721
[33161]: 5-14	IORB created: 33161
[33371]: 14-10	IORB created: 33371
[33446]: 10-10	IORB created: 33403
[33551]: 10-13	IORB created: 33511
[33701]: 13-5	IORB created: 33551
[33746]: 5-10	IORB created: 33701
[33896]: 10-8	IORB created: 33808
[33971]: 8-5	IORB created: 33971
[34082]: 5-7	IORB created: 34082
[34187]: 7-13	IORB created: 34159
[34367]: 13-5	IORB created: 34187
[34412]: 5-10	IORB created: 34367
[35853]: 10-15	IORB created: 35853
[36033]: 15-10	IORB created: 36033
[36153]: 10-11	IORB created: 36153
[36273]: 11-10	IORB created: 36273
[36386]: 10-14	IORB created: 36386
[36551]: 14-10	IORB created: 36551
[36909]: 10-10	IORB created: 36909
[37014]: 10-10	IORB created: 37014
[37826]: 10-12	IORB created: 37826
[37961]: 12-2	IORB created: 37961
[38051]: 2-10	IORB created: 38051
[38433]: 10-9	IORB created: 38433
[38523]: 9-5	IORB created: 38523
[39126]: 5-9	IORB created: 39126
[39261]: 9-5	IORB created: 39261
[39644]: 5-6	IORB created: 39644
[39734]: 6-5	IORB created: 39734
[39794]: 5-12	IORB created: 39765
[39974]: 12-14	IORB created: 39771
[40124]: 14-10	IORB created: 39812
[40199]: 10-11	IORB created: 39881
[40319]: 11-10	IORB created: 39974
[40424]: 10-9	IORB created: 40000
[40514]: 9-13	IORB created: 40035
[40679]: 13-15	IORB created: 40049
[40844]: 15-10	IORB created: 40124
[40919]: 10-8	IORB created: 40147
[40994]: 8-10	IORB created: 40199
[41114]: 10-11	IORB created: 40319
[41234]: 11-17	IORB created: 40339
[41444]: 17-13	IORB created: 40646
[41549]: 13-18	IORB created: 40679
[41759]: 18-11	IORB created: 40679
[41819]: 11-18	IORB created: 40733
[42044]: 18-3	IORB created: 40844
[42164]: 3-5	IORB created: 40994
[42254]: 5-16	IORB created: 41444
[42494]: 16-16	IORB created: 41759
[42644]: 16-15	IORB created: 41779
[42779]: 15-12	IORB created: 41903
[42884]: 12-14	IORB created: 41955
[43034]: 14-16	IORB created: 42044
[43199]: 16-10	IORB created: 42164
[43259]: 10-11	IORB created: 42369
[43379]: 11-10	IORB created: 42779
[43484]: 10-15	IORB created: 42874
[43664]: 15-10	IORB created: 42884
[43739]: 10-11	IORB created: 42937
[43859]: 11-18	IORB created: 43010
[44084]: 18-11	IORB created: 43034
[44144]: 11-21	IORB created: 43138
[44414]: 21-12	IORB created: 43240
[44474]: 12-17	IORB created: 43315
[44669]: 17-11	IORB created: 43379
[44744]: 11-11	IORB created: 43664
[44864]: 11-17	IORB created: 43709
[45074]: 17-1	IORB created: 43714
[45209]: 1-11	IORB created: 43787
[45404]: 11-13	IORB created: 43842
[45554]: 13-10	IORB created: 43859
[45644]: 10-14	IORB created: 43861
[45809]: 14-16	IORB created: 44084
[45974]: 16-16	IORB created: 44414
[46124]: 16-10	IORB created: 44471
[46184]: 10-10	IORB created: 44474
[46289]: 10-16	IORB created: 44669
[46484]: 16-14	IORB created: 44871
[46604]: 14-13	IORB created: 44904
[46724]: 13-16	IORB created: 45074
[46904]: 16-0	IORB created: 45209
[47054]: 0-11	IORB created: 45404
[47249]: 11-12	IORB created: 45442
[47384]: 12-11	IORB created: 45554
[47489]: 11-11	IORB created: 45809
[47609]: 11-18	IORB created: 46018
[47834]: 18-10	IORB created: 46184
[47879]: 10-15	IORB created: 46382
[48059]: 15-20	IORB created: 46395
[48284]: 20-19	IORB created: 46513
[48449]: 19-10	IORB created: 46604
[48494]: 10-11	IORB created: 46719
[48614]: 11-12	IORB created: 46724
[48749]: 12-19	IORB created: 47032
[48974]: 19-3	IORB created: 47211
