[30577]: 5-6	IORB created: 30415
[30667]: 6-6	IORB created: 30000
[30742]: 6-7	IORB created: 30334
[30832]: 7-10	IORB created: 30076
[30967]: 10-19	IORB created: 30259
[31207]: 19-24	IORB created: 30035
[31462]: 24-5	IORB created: 30967
[31597]: 5-5	IORB created: 30832
[31672]: 5-5	IORB created: 30667
[31747]: 5-8	IORB created: 31316
[31867]: 8-8	IORB created: 30941
[31957]: 8-9	IORB created: 31162
[32062]: 9-14	IORB created: 30918
[32242]: 14-16	IORB created: 31207
[32407]: 16-16	IORB created: 31046
[32557]: 16-16	IORB created: 30502
[32707]: 16-5	IORB created: 32557
[32782]: 5-5	IORB created: 32402
[32857]: 5-5	IORB created: 32062
[32932]: 5-5	IORB created: 31957
[33007]: 5-5	IORB created: 31867
[33082]: 5-7	IORB created: 31629
[33187]: 7-10	IORB created: 32370
[33322]: 10-10	IORB created: 32242
[33427]: 10-19	IORB created: 32437
[33667]: 19-21	IORB created: 31462
[33877]: 21-5	IORB created: 33322
[33982]: 5-5	IORB created: 33187
[34057]: 5-6	IORB created: 33305
[34147]: 6-7	IORB created: 32857
[34237]: 7-8	IORB created: 32952
[34342]: 8-10	IORB created: 33538
[34462]: 10-10	IORB created: 33147
[34567]: 10-12	IORB created: 33002
[34702]: 12-16	IORB created: 33667
[34882]: 16-16	IORB created: 32782
[35032]: 16-20	IORB created: 32753
[35242]: 20-5	IORB created: 34147
[35347]: 5-8	IORB created: 34580
[35467]: 8-5	IORB created: 33982
[35512]: 5-7	IORB created: 34195
[35617]: 7-8	IORB created: 34458
[35722]: 8-8	IORB created: 34237
[35812]: 8-12	IORB created: 34462
[35962]: 12-19	IORB created: 34742
[36187]: 19-20	IORB created: 35118
[36382]: 20-24	IORB created: 34010
[36622]: 24-5	IORB created: 35812
[36757]: 5-7	IORB created: 36382
[36862]: 7-7	IORB created: 36106
[36952]: 7-8	IORB created: 36299
[37057]: 8-10	IORB created: 35962
[37177]: 10-10	IORB created: 35817
[37282]: 10-10	IORB created: 35459
[37387]: 10-11	IORB created: 36187
[37507]: 11-15	IORB created: 36305
[37687]: 15-16	IORB created: 35242
[37852]: 16-17	IORB created: 36178
[38017]: 17-5	IORB created: 37387
[38092]: 5-5	IORB created: 37282
[38167]: 5-5	IORB created: 36952
[38242]: 5-6	IORB created: 37057
[38332]: 6-8	IORB created: 37687
[38437]: 8-12	IORB created: 37195
[38587]: 12-16	IORB created: 36862
[38767]: 16-18	IORB created: 37890
[38947]: 18-22	IORB created: 37507
[39172]: 22-22	IORB created: 36622
[39367]: 22-5	IORB created: 38437
[39487]: 5-5	IORB created: 38332
[39562]: 5-8	IORB created: 38320
[39682]: 8-9	IORB created: 38503
[39787]: 9-10	IORB created: 39172
[39907]: 10-14	IORB created: 39207
[40072]: 14-16	IORB created: 38947
[40237]: 16-17	IORB created: 38906
[40402]: 17-20	IORB created: 39323
[40612]: 20-20	IORB created: 38017
[40792]: 20-5	IORB created: 39682
[40897]: 5-6	IORB created: 40000
[40987]: 6-6	IORB created: 39758
[41062]: 6-7	IORB created: 40402
[41152]: 7-8	IORB created: 40612
[41257]: 8-8	IORB created: 39787
[41347]: 8-9	IORB created: 39650
[41452]: 9-10	IORB created: 40072
[41572]: 10-12	IORB created: 39924
[41707]: 12-12	IORB created: 39387
[41827]: 12-12	IORB created: 39367
[41947]: 12-14	IORB created: 39865
[42097]: 14-20	IORB created: 40318
[42322]: 20-5	IORB created: 41452
[42427]: 5-5	IORB created: 41347
[42502]: 5-7	IORB created: 42097
[42607]: 7-7	IORB created: 41827
[42697]: 7-8	IORB created: 41045
[42802]: 8-10	IORB created: 41707
[42922]: 10-10	IORB created: 41705
[43027]: 10-14	IORB created: 42049
[43192]: 14-16	IORB created: 41152
[43357]: 16-16	IORB created: 40792
[43507]: 16-21	IORB created: 41947
[43732]: 21-5	IORB created: 42607
[43837]: 5-8	IORB created: 42885
[43957]: 8-8	IORB created: 42528
[44047]: 8-8	IORB created: 42322
[44137]: 8-9	IORB created: 42697
[44242]: 9-9	IORB created: 42659
[44347]: 9-9	IORB created: 42471
[44452]: 9-10	IORB created: 43192
[44572]: 10-12	IORB created: 42934
[44707]: 12-16	IORB created: 42716
[44887]: 16-24	IORB created: 43425
[45157]: 24-3	IORB created: 44887
[45322]: 3-5	IORB created: 44452
[45412]: 5-5	IORB created: 44347
[45487]: 5-5	IORB created: 44242
[45562]: 5-7	IORB created: 44494
[45667]: 7-8	IORB created: 43957
[45772]: 8-9	IORB created: 44213
[45877]: 9-10	IORB created: 44707
[45997]: 10-12	IORB created: 44603
[46132]: 12-16	IORB created: 44137
[46312]: 16-20	IORB created: 44471
